locale,key,value
en_US,connect_astra,Setting up Astra DB connection...
en_US,load_embedding,Getting the OpenAI embedding...
en_US,load_vectorstore,Getting the Vector Store from Astra DB...
en_US,load_retriever,Getting the retriever...
en_US,load_message_history,Getting the Message History from Astra DB...
en_US,load_model,Getting the OpenAI Chat Model...
en_US,load_context,Upload a document for additional context
en_US,load_context_button,Load Documents
en_US,delete_context,"Delete the context, history and start over. This deletes vector embeddings for ALL users!"
en_US,delete_context_button,Delete context
en_US,deleting_context,Removing context and intialising...
en_US,deleting_memory,Removing memory...
en_US,delete_memory_button,Delete Chat History
en_US,assistant_welcome,"Hi, I'm your personal assistant and am ready to help!"
en_US,assistant_question,What's up?
en_US,load_text,chuncks loaded into Astra DB
en_US,load_pdf,pages loaded into Astra DB
en_US,assistant_leadin,Type for example:
en_US,rails_1,🤩 Try the following prompts ⬇️
en_US,rails_2,(copy and paste in the chat box)
en_US,logout_caption,Welcome! Logged in as user
en_US,logout_button,Logout
en_US,sources_used,The following context was retrieved from the Vector Database:
nl_NL,connect_astra,Verkrijgen van de Astra DB verbinding...
nl_NL,load_embedding,Verkrijgen van de OpenAI embedding...
nl_NL,load_vectorstore,Verkrijgen van de vector opslag...
nl_NL,load_retriever,Verkrijgen van de retriever...
nl_NL,load_message_history,Verkrijgen van Message History...
nl_NL,load_model,Verkrijgen van het OpenAI chat model...
nl_NL,load_context,Upload een document voor additionele context
nl_NL,load_context_button,Opslaan in de Vector Database
nl_NL,delete_context,"Verwijder de context, historie en begin opnieuw. Dit verwijderd vector data voor ALLE gebruikers!"
nl_NL,delete_context_button,Verwijder context
nl_NL,deleting_context,Context verwijderen en herinitialiseren...
nl_NL,deleting_memory,Memory verwijderen...
nl_NL,delete_memory_button,Verwijder chat historie
nl_NL,assistant_welcome,"Hallo, ik ben je persoonlijke assistent en sta voor je klaar!"
nl_NL,assistant_question,Waar kan ik mee helpen?
nl_NL,load_text,chuncks geladen in Astra DB
nl_NL,load_pdf,paginas geladen in Astra DB
nl_NL,assistant_leadin,Bijvoorbeeld:
nl_NL,rails_1,🤩 Probeer de volgende prompts ⬇️
nl_NL,rails_2,(kopieer en plak in de chat)
nl_NL,logout_caption,Welkom! Ingelogd als gebruiker
nl_NL,logout_button,Uitloggen
nl_NL,sources_used,De volgende context werd opgehaald uit de Vector Database:
ro_RO,connect_astra,Se stabilește conexiunea cu Astra DB...
ro_RO,load_embedding,Se obține embedding-ul OpenAI...
ro_RO,load_vectorstore,Se obține magazinul de vectori din Astra DB...
ro_RO,load_retriever,Se obține recuperatorul...
ro_RO,load_message_history,Se obține istoricul mesajelor din Astra DB...
ro_RO,load_model,Se obține modelul de chat OpenAI...
ro_RO,load_context,Încărcați un document pentru context suplimentar
ro_RO,load_context_button,Încărcați documente
ro_RO,delete_context,"Ștergeți contextul, istoria și începeți de la capăt. Acest lucru șterge încorporările vectoriale pentru TOȚI utilizatorii!"
ro_RO,delete_context_button,Ștergeți contextul
ro_RO,deleting_context,Se elimină contextul și se inițializează...
ro_RO,deleting_memory,Se elimină memoria...
ro_RO,delete_memory_button,Ștergeți istoricul conversațiilor
ro_RO,assistant_welcome,"Bună, sunt asistentul tău personal și sunt gata să ajut!"
ro_RO,assistant_question,Ce este nou?
ro_RO,load_text,chuncks încărcate în Astra DB
ro_RO,load_pdf,pagini încărcate în Astra DB
ro_RO,assistant_leadin,Tipărește de exemplu:
ro_RO,rails_1,🤩 Încercați următoarele prompturi ⬇️
ro_RO,rails_2,(copiați și lipiți în caseta de chat)
ro_RO,logout_caption,Bun venit! Autentificat ca utilizator
ro_RO,logout_button,Deconectare
ro_RO,sources_used,Contextul următor a fost recuperat din baza de date Vector:
