locale,key,value

en_US,load_text,chuncks loaded into Astra DB
en_US,load_pdf,chuncks loaded into Astra DB
en_US,load_csv,chuncks loaded into Astra DB
en_US,load_embedding,Getting the OpenAI embedding...
en_US,load_vectorstore,Getting the Vector Store from Astra DB...
en_US,load_message_history,Getting the Message History from Astra DB...
en_US,assistant_welcome,"Hi, I'm your personal assistant and am ready to help!"
en_US,logout_caption,Welcome! Logged in as user
en_US,logout_button,Logout
en_US,disable_chat_history,Disable Chat History
en_US,k_chat_history,K for Chat History
en_US,delete_chat_history_button,Delete Chat History
en_US,deleting_chat_history,Deleting Chat History
en_US,disable_vector_store,Disable Vector Store
en_US,top_k_vector_store,Top-K for Vector Store
en_US,rag_strategy,RAG strategy:
en_US,rag_strategy_help,"Basic retrieval finds the most relevant document with potential duplicate information. MMR ensures a balance between relevancy and diversity in the items retrieved. Fusion generates a set of additional relevant queries to retrieve relevant documents."
en_US,system_prompt,System Prompt:
en_US,custom_prompt,Custom Prompt:
en_US,custom_prompt_help,"You can use the following placeholders: {question}, {context}, {chat_history}"
en_US,load_context,Upload a document for additional context
en_US,load_context_button,Load Documents
en_US,load_from_urls,Load data from URL(s):
en_US,load_from_urls_help,Please comma-divide multiple URLs
en_US,load_from_urls_button,Load Web Data
en_US,delete_context,"Delete the context, history and start over. This deletes vector embeddings for ALL users!"
en_US,delete_context_button,Delete context
en_US,deleting_context,Removing context and intialising...
en_US,rails_1,🤩 Try the following prompts ⬇️
en_US,rails_2,(copy and paste in the chat box)
en_US,assistant_question,What's up?
en_US,take_picture,Take a picture
en_US,using_fusion_queries,Using the following queries based on your prompt according to the Fusion Strategy:
en_US,no_context,No additional context was used as the Vector Store is disabled.
en_US,sources_used,The following context was retrieved from the Vector Database:
en_US,no_chat_history,No Chat History was used as this option is disabled.
en_US,chat_history_used,Chat History messages used to construct this response

nl_NL,load_text,chuncks geladen in Astra DB
nl_NL,load_pdf,chuncks geladen in Astra DB
nl_NL,load_csv,chuncks geladen in Astra DB
nl_NL,load_embedding,Verkrijgen van de OpenAI embedding...
nl_NL,load_vectorstore,Verkrijgen van de Vector opslag uit Astra DB...
nl_NL,load_message_history,Verkrijgen van Message History...
nl_NL,assistant_welcome,"Hallo, ik ben je persoonlijke assistent en sta voor je klaar!"
nl_NL,logout_caption,Welkom! Ingelogd als gebruiker
nl_NL,logout_button,Uitloggen
nl_NL,disable_chat_history,Chat History uitschakelen
nl_NL,k_chat_history,K voor Chat History
nl_NL,delete_chat_history_button,Chat History verwijderen
nl_NL,deleting_chat_history,Bezig met verwijderen vam Chat History
nl_NL,disable_vector_store,Vector Store uitschakelen
nl_NL,top_k_vector_store,Top-K voor de Vector Store
nl_NL,rag_strategy,RAG strategie:
nl_NL,rag_strategy_help,"Basiszoekopdrachten vinden het meest relevante document met potentieel dubbele informatie. MMR zorgt voor een balans tussen relevantie en diversiteit in de opgehaalde items. Fusion genereert een reeks aanvullende relevante zoekopdrachten om relevante documenten op te halen."
nl_NL,system_prompt,Systeem Prompt:
nl_NL,custom_prompt,Aangepaste Prompt:
nl_NL,custom_prompt_help,"Je kunt de volgende placeholders gebruiken: {question}, {context}, {chat_history}"
nl_NL,load_context,Upload een document voor additionele context
nl_NL,load_context_button,Opslaan in de Vector Database
nl_NL,load_from_urls,Upload data vanuit URL(s):
nl_NL,load_from_urls_help,Splits meerdere URL's met een komma
nl_NL,load_from_urls_button,Webdata Laden
